ID,Urne,QR-Code,Categorie,1 - Des pistes cyclables plus colorees et securisees,2 - Du sport pour tous les gouts dans la ville,3 - La Pagode du centre sportif Jules Ladoumegue renovee,4 - La solidarite en actions dans la ville,5 - Le numerique pour toutes et tous,6 - De nouveaux outils pour mieux mesurer le bruit en ville,7 - Une ville plus belle et plus propre,8 - Des batiments publics plus performants face au changement climatique,9 - Des ilots de fraicheurs pour faire face aux canicules,10 - Plus de biodiversite dans la ville,11 - De nouvelles manieres d apprendre pour les enfants et les jeunes,12 - Des lieux anti-gaspi et solidaires en bas de chez soi,13 - De nouveaux espaces pour les chiens dans la ville,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
VoterStrat,Strat,Tout Paris,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,13,1,0,0,12,0
