ID,Urne,QR-Code,Categorie,1 - Humanisation de La Peniche du Coeur,2 - Apportons une touche de modernite aux lieux de loisirs du 5e,3 - Embellir et renover les ecoles du 5e,4 - Rendre sa splendeur a l eglise Saint-Severin,5 - Restaurons les oeuvres d art de nos eglises,"6 - Fontaines et piscine, plus de fraicheur dans le 5e",Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
1,U05-002,2022AR05A,Valide,1,4,4,4,4,4,6,1,0,0,5,0
2,U05-002,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
5,U05-002,2022AR05A,Valide,1,4,1,4,4,3,6,2,0,1,3,0
6,U05-002,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
8,U05-002,2022AR05A,Valide,3,3,3,1,1,1,6,3,0,3,0,0
9,U05-002,2022AR05A,Valide,2,2,1,2,2,1,6,2,4,0,0,0
10,U05-002,2022AR05A,Valide,1,2,2,1,2,1,6,3,3,0,0,0
11,U05-002,2022AR05A,Valide,4,3,1,2,2,2,6,1,3,1,1,0
12,U05-002,2022AR05A,Valide,2,2,1,3,2,2,6,1,4,1,0,0
13,U05-002,2022AR05A,Valide,4,3,3,2,2,2,6,0,3,2,1,0
14,U05-002,2022AR05A,Valide,3,2,3,1,4,3,6,1,1,3,1,0
21,U05-002,2022AR05A,Valide,1,2,2,3,3,3,6,1,2,3,0,0
23,U05-002,2022AR05A,Valide,3,4,4,3,novote,4,5,0,0,2,3,1
24,U05-002,2022AR05A,Valide,4,1,1,1,1,3,6,4,0,1,1,0
25,U05-002,2022AR05A,Valide,1,novote,2,2,3,1,5,2,2,1,0,1
28,U05-002,2022AR05A,Valide,1,2,1,1,1,2,6,4,2,0,0,0
29,U05-002,2022AR05A,Valide,1,3,3,3,3,2,6,1,1,4,0,0
32,U05-002,2022AR05A,Valide,2,2,2,4,4,2,6,0,4,0,2,0
34,U05-002,2022AR05A,Valide,3,novote,1,1,novote,1,4,3,0,1,0,2
37,U05-002,2022AR05A,Valide,novote,novote,1,1,1,1,4,4,0,0,0,2
38,U05-002,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
44,U05-002,2022AR05A,Valide,2,1,2,2,3,1,6,2,3,1,0,0
797,U05-004,2022AR05B,Valide,2,3,1,2,2,2,6,1,4,1,0,0
801,U05-004,2022AR05B,Valide,1,3,3,3,3,1,6,2,0,4,0,0
804,U05-004,2022AR05B,Nul,1,1,1 2,novote,2,2,4,2,2,0,0,1
806,U05-004,2022AR05B,Valide,2,novote,novote,2,2,2,4,0,4,0,0,2
807,U05-004,2022AR05B,Valide,2,2,2,3,2,1,6,1,4,1,0,0
808,U05-004,2022AR05B,Valide,3,1,1,3,3,2,6,2,1,3,0,0
809,U05-004,2022AR05B,Valide,3,1,2,1,3,1,6,3,1,2,0,0
811,U05-004,2022AR05B,Valide,2,novote,2,novote,1,1,4,2,2,0,0,2
812,U05-004,2022AR05B,Valide,1,1,1,1,1,1,6,6,0,0,0,0
813,U05-004,2022AR05B,Valide,1,1,1,2,2,1,6,4,2,0,0,0
816,U05-004,2022AR05B,Valide,4,4,1,1,1,1,6,4,0,0,2,0
819,U05-004,2022AR05B,Valide,1,1,1,2,3,1,6,4,1,1,0,0
821,U05-004,2022AR05B,Valide,2,1,1,2,1,1,6,4,2,0,0,0
823,U05-004,2022AR05B,Valide,1,2,1,1,1,1,6,5,1,0,0,0
825,U05-004,2022AR05B,Valide,1,3,3,3,3,3,6,1,0,5,0,0
826,U05-004,2022AR05B,Valide,1,1,1,1,1,1,6,6,0,0,0,0
828,U05-004,2022AR05B,Valide,1,2,2,1,2,4,6,2,3,0,1,0
830,U05-004,2022AR05B,Valide,2,novote,2,1,novote,2,4,1,3,0,0,2
834,U05-004,2022AR05B,Valide,4,novote,4,novote,1,4,4,1,0,0,3,2
835,U05-004,2022AR05B,Valide,1,1,novote,3,3,1,5,3,0,2,0,1
836,U05-004,2022AR05B,Valide,1,4,3,3,2,1,6,2,1,2,1,0
838,U05-004,2022AR05B,Valide,1,1,1,1,1,1,6,6,0,0,0,0
839,U05-004,2022AR05B,Valide,4,4,3,2,1,4,6,1,1,1,3,0
842,U05-004,2022AR05B,Valide,3,1,1,3,3,1,6,3,0,3,0,0
843,U05-004,2022AR05B,Valide,1,novote,1,1,1,1,5,5,0,0,0,1
844,U05-004,2022AR05B,Nul,novote,novote,2,novote,novote,3,2,0,1,1,0,4
846,U05-004,2022AR05B,Valide,2,1,1,2,1,2,6,3,3,0,0,0
848,U05-004,2022AR05B,Valide,2,3,2,novote,1,3,5,1,2,2,0,1
850,U05-004,2022AR05B,Valide,1,2,2,3,3,3,6,1,2,3,0,0
851,U05-004,2022AR05B,Valide,2,2,1,3,4,2,6,1,3,1,1,0
854,U05-004,2022AR05B,Valide,1,1,novote,1,novote,1,4,4,0,0,0,2
858,U05-004,2022AR05B,Valide,4,4,4,2,1,4,6,1,1,0,4,0
860,U05-004,2022AR05B,Valide,3,novote,3,novote,2,1,4,1,1,2,0,2
861,U05-004,2022AR05B,Valide,2,3,novote,2,novote,1,4,1,2,1,0,2
862,U05-004,2022AR05B,Nul,novote,novote,1,1,1,1 2,3,3,0,0,0,2
863,U05-004,2022AR05B,Valide,1,1,1,3,1,1,6,5,0,1,0,0
865,U05-004,2022AR05B,Valide,1,3,1,4,3,1,6,3,0,2,1,0
