ID,Urne,QR-Code,Categorie,1 - Bagagerie solidaire dans le 6e arrondissement,2 - Installation de brumisateurs urbains,3 - Ouverture d un Jardin Partage - Rue du Cherche-Midi,4 - Revelation d un petit jardin - Angle Littre-Vaugirard,5 - Des videoprojecteurs interactifs pour les ecoles du 6e,6 - Dotation aux ecoles de solution de fraicheur,7 - Les jardiniers du Jardinet,8 - Creer un espace scenique ouvert a tous publics et styles,9 - Restaurer le patrimoine cultuel et culturel du 6e arrondissement,10 - Un parc d exercice et de detente canin,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
49,U06-002,2022AR06B,Valide,novote,novote,3,2,novote,3,novote,novote,1,novote,4,1,1,2,0,6
50,U06-002,2022AR06B,Valide,4,4,3,4,4,4,1,4,4,4,10,1,0,1,8,0
51,U06-002,2022AR06A,Valide,4,4,1,novote,4,4,1,4,1,1,9,4,0,0,5,1
52,U06-002,2022AR06B,Valide,novote,novote,novote,1,novote,1,1,novote,1,novote,4,4,0,0,0,6
53,U06-002,2022AR06B,Valide,novote,1,novote,novote,novote,1,novote,novote,1,4,4,3,0,0,1,6
54,U06-002,2022AR06B,Valide,1,novote,novote,1,novote,novote,novote,1,novote,1,4,4,0,0,0,6
59,U06-002,2022AR06B,Valide,2,novote,1,1,novote,2,1,novote,3,novote,6,3,2,1,0,4
63,U06-002,2022AR06A,Valide,2,novote,3,3,1,novote,novote,novote,novote,novote,4,1,1,2,0,6
70,U06-002,2022AR06A,Valide,novote,4,3,4,novote,novote,novote,novote,1,4,5,1,0,1,3,5
76,U06-002,2022AR06B,Valide,3,4,1,1,2,1,1,3,2,3,10,4,2,3,1,0
77,U06-002,2022AR06B,Nul,novote,novote,novote,1,novote,novote,novote,novote,1,novote,2,2,0,0,0,8
82,U06-002,2022AR06A,Valide,novote,novote,novote,2,1,1,2,novote,novote,novote,4,2,2,0,0,6
83,U06-002,2022AR06B,Valide,3,4,4,2,1,1,2,4,1,4,10,3,2,1,4,0
84,U06-002,2022AR06B,Nul,novote,novote,1,1,novote,2,novote,novote,novote,novote,3,2,1,0,0,7
