ID,Urne,QR-Code,Categorie,1 - ilot refuge pour pietons et velos pont Alexandre III,2 - Reamenager et equiper les espaces verts du 7e arrondissement,3 - Embellir les cours des ecoles du 7e arrondissement !,4  - Reamenagement des espaces dedies a la jeunesse,5 - Restauration des chapelles Sainte-Valere et Sainte-Clotilde,6 - Restauration du temple de Pentemont,7 - Restaurer la sacristie de l eglise Saint-Thomas d Aquin et son local,8 - Restaurer le Champ de Mars et son mobilier historique,9 - Sauvegarde des statues de l arrondissement,10 - Vegetalisation et equipement de la place Fontenoy,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
3882,U07-003,2022AR07A,Valide,novote,novote,2,novote,novote,novote,novote,1,2,2,4,1,3,0,0,6
3896,U07-003,2022AR07A,Valide,novote,3,novote,novote,novote,novote,novote,3,3,1,4,1,0,3,0,6
3898,U07-003,2022AR07B,Nul,novote,novote,novote,novote,novote,1,novote,novote,novote,2,2,1,1,0,0,8
3924,U07-003,2022AR07A,Valide,novote,1,novote,novote,novote,novote,novote,1,1,1,4,4,0,0,0,6
3977,U07-003,2022AR07A,Valide,novote,1,1,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,6
3986,U07-003,2022AR07B,Nul,novote,novote,novote,2,1,novote,novote,2,novote,novote,3,1,2,0,0,7
4004,U07-003,2022AR07B,Valide,1,1,novote,1,1,novote,2,3,novote,novote,6,4,1,1,0,4
4013,U07-003,2022AR07B,Valide,novote,1,1,1,novote,novote,novote,1,novote,novote,4,4,0,0,0,6
4069,U07-003,2022AR07A,Valide,novote,novote,novote,novote,2,2,2,1,novote,novote,4,1,3,0,0,6
4079,U07-003,2022AR07B,Valide,novote,2,2,2,novote,novote,1,novote,novote,2,5,1,4,0,0,5
4085,U07-003,2022AR07B,Nul,novote,1,novote,novote,novote,novote,novote,1,novote,novote,2,2,0,0,0,8
4092,U07-003,2022AR07B,Valide,novote,4,novote,novote,novote,novote,novote,1,4,4,4,1,0,0,3,6
4102,U07-003,2022AR07A,Valide,novote,1,1,1,novote,novote,novote,1,1,novote,5,5,0,0,0,5
4122,U07-003,2022AR07A,Valide,1,2,1,3,2,2,2,2,2,2,10,2,7,1,0,0
4139,U07-003,2022AR07B,Blanc,novote,novote,novote,4,novote,novote,novote,novote,novote,novote,1,0,0,0,1,9
4150,U07-003,2022AR07B,Valide,2,3,2,2,3,3,3,1,2,3,10,1,4,5,0,0
4189,U07-003,2022AR07A,Valide,novote,1,novote,novote,novote,novote,novote,1,1,1,4,4,0,0,0,6
4210,U07-005,2022AR07A,Valide,2,1,2,1,1,2,2,1,2,2,10,4,6,0,0,0
4214,U07-005,2022AR07A,Valide,3,3,1,1,3,3,4,1,2,3,10,3,1,5,1,0
4218,U07-005,2022AR07B,Valide,novote,novote,1,1,novote,novote,novote,1,1,novote,4,4,0,0,0,6
4220,U07-005,2022AR07B,Valide,novote,novote,novote,novote,4,4,4,1,novote,2,5,1,1,0,3,5
4222,U07-005,2022AR07A,Valide,1,1,1,1,1,1,2,1,1,1,10,9,1,0,0,0
4226,U07-005,2022AR07B,Valide,4,2,1,3,3,2,1,2,3,1,10,3,3,3,1,0
4228,U07-005,2022AR07A,Valide,novote,1,1,1,novote,novote,novote,1,novote,novote,4,4,0,0,0,6
4230,U07-005,2022AR07A,Valide,4,1,1,1,2,2,1,1,2,1,10,6,3,0,1,0
4234,U07-005,2022AR07B,Valide,novote,1,novote,1,novote,novote,novote,1,novote,1,4,4,0,0,0,6
4237,U07-005,2022AR07B,Valide,1,1,novote,1,novote,novote,novote,1,novote,novote,4,4,0,0,0,6
4239,U07-005,2022AR07B,Valide,novote,novote,novote,novote,3,3,3,3,novote,2,5,0,1,4,0,5
4242,U07-005,2022AR07A,Valide,novote,1,1,1,novote,novote,novote,1,novote,novote,4,4,0,0,0,6
4248,U07-005,2022AR07A,Valide,2,1,3,1,1,2,2,1,2,2,10,4,5,1,0,0
4250,U07-005,2022AR07A,Valide,2,1,1,1,4,2,3,1,4,1,10,5,2,1,2,0
4254,U07-005,2022AR07B,Valide,novote,1,1,1,novote,novote,novote,1,novote,1,5,5,0,0,0,5
4257,U07-005,2022AR07A,Valide,novote,1,novote,1,novote,novote,novote,1,novote,1,4,4,0,0,0,6
