ID,Urne,QR-Code,Categorie,1 - Proteger les pietons et reduire les nuisances sonores,2 - Developper le commerce de proximite dans le quartier de l Europe,3 - Poursuivre le renouveau du parc Monceau,4 - Renover les grilles de l avenue Ruysdael et les allees du parc Monceau,5 - Restaurer la facade ouest de l eglise de la Madeleine et ses statues,6 - Restaurer le patrimoine de la place de la Concorde,7 - Restaurer les grilles emblematiques du parc Monceau - avenue Van Dyck,8 - Restaurer les grilles emblematiques du parc Monceau - avenue Velasquez,9 - Restaurer les grilles emblematiques du parc Monceau - Bd de Courcelles,"10 - Apaiser, vegetaliser des rues et places de l arrondissement",11 - Renover le marche aux fleurs de la Madeleine et le gymnase Condorcet,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
35460,U08-011,2022AR08A,Valide,1,2,1,2,2,3,1,1,1,2,2,11,5,5,1,0,0
35922,U08-011,2022AR08A,Valide,2,2,2,3,3,3,3,2,2,2,2,11,0,7,4,0,0
36754,U08-011,2022AR08A,Nul,1,novote,novote,novote,novote,2,novote,novote,novote,novote,novote,2,1,1,0,0,9
36898,U08-011,2022AR08A,Valide,2,2,2,2,2,2,3,3,3,3,3,11,0,6,5,0,0
36960,U08-011,2022AR08A,Valide,2,2,2,2,2,2,2,2,2,2,2,11,0,11,0,0,0
36994,U08-011,2022AR08A,Valide,1,novote,3,novote,novote,1,novote,novote,novote,1,novote,4,3,0,1,0,7
37103,U08-011,2022AR08A,Valide,1,3,2,3,1,2,2,3,3,1,2,11,3,4,4,0,0
37489,U08-011,2022AR08A,Valide,1,1,novote,novote,2,novote,novote,novote,novote,1,novote,4,3,1,0,0,7
37664,U08-011,2022AR08A,Valide,1,1,1,1,2,1,1,1,2,1,1,11,9,2,0,0,0
37841,U08-010,2022AR08A,Valide,1,novote,novote,novote,novote,1,novote,1,novote,1,novote,4,4,0,0,0,7
37855,U08-010,2022AR08A,Valide,1,2,3,3,3,3,novote,novote,novote,novote,novote,6,1,1,4,0,5
37870,U08-010,2022AR08A,Valide,2,1,1,novote,1,1,1,1,1,1,1,10,9,1,0,0,1
37919,U08-010,2022AR08A,Valide,1,novote,1,novote,novote,2,novote,novote,1,novote,novote,4,3,1,0,0,7
37933,U08-010,2022AR08A,Nul,3,3,novote,novote,novote,novote,novote,novote,novote,3,novote,3,0,0,3,0,8
37961,U08-010,2022AR08A,Valide,novote,novote,1,1,1,novote,novote,novote,novote,novote,1,4,4,0,0,0,7
38061,U08-011,2022AR08A,Valide,1,2,3,2,2,2,2,2,2,3,2,11,1,8,2,0,0
38848,U08-011,2022AR08A,Valide,1,4,4,4,4,1,4,4,4,1,1,11,4,0,0,7,0
39129,U08-011,2022AR08A,Valide,novote,novote,1,1,novote,novote,1,2,novote,novote,novote,4,3,1,0,0,7
39178,U08-011,2022AR08A,Valide,1,2,2,3,1,2,3,2,2,1,1,11,4,5,2,0,0
