ID,Urne,QR-Code,Categorie,1 - Moderniser les salles d escrime du gymnase Buffault,2 - Reinventer la maison pour tous YMCA de la rue de Trevise,3 - Installer des radars pedagogiques,4 - Diversifier les commerces dans le quartier Pigalle,5 - Ameliorer le confort des usagers du Conservatoire Boulanger,6 - Creer un parcours patrimonial grace a des QR codes,7 - Restaurer les publicites peintes de la rue des Martyrs,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
2381,U09-004,2022AR09B,Valide,3,4,1,1,3,4,4,7,2,0,2,3,0
2382,U09-004,2022AR09B,Valide,3,2,3,2,3,3,1,7,1,2,4,0,0
2383,U09-004,2022AR09B,Valide,2,novote,2,1,2,novote,novote,4,1,3,0,0,3
2385,U09-004,2022AR09B,Valide,novote,novote,1,1,novote,1,1,4,4,0,0,0,3
2388,U09-004,2022AR09B,Valide,3,1,novote,2,3,4,novote,5,1,1,2,1,2
2389,U09-004,2022AR09B,Valide,3,3,2,2,novote,1,2,6,1,3,2,0,1
2390,U09-004,2022AR09B,Valide,3,1,3,1,1,3,1,7,4,0,3,0,0
2391,U09-004,2022AR09B,Valide,1,1,4,1,1,4,3,7,4,0,1,2,0
2393,U09-004,2022AR09B,Valide,1,1,novote,2,novote,novote,2,4,2,2,0,0,3
2394,U09-004,2022AR09B,Valide,4,novote,3,2,1,novote,novote,4,1,1,1,1,3
2397,U09-004,2022AR09B,Valide,2,1,2,novote,novote,novote,2,4,1,3,0,0,3
2399,U09-004,2022AR09B,Valide,2,3,2,1,3,3,1,7,2,2,3,0,0
2401,U09-004,2022AR09B,Valide,1,2,4,2,3,3,2,7,1,3,2,1,0
2402,U09-004,2022AR09B,Valide,novote,1,2,novote,novote,2,1,4,2,2,0,0,3
2405,U09-004,2022AR09B,Valide,2,3,3,2,2,3,3,7,0,3,4,0,0
2406,U09-004,2022AR09B,Valide,1,1,1,novote,1,novote,novote,4,4,0,0,0,3
2407,U09-004,2022AR09B,Valide,2,1,2,1,1,1,1,7,5,2,0,0,0
2410,U09-004,2022AR09B,Valide,novote,novote,1,2,2,novote,2,4,1,3,0,0,3
2411,U09-004,2022AR09B,Valide,2,1,novote,3,novote,4,1,5,2,1,1,1,2
2413,U09-004,2022AR09B,Valide,novote,1,novote,4,2,novote,3,4,1,1,1,1,3
2416,U09-004,2022AR09B,Valide,3,1,2,1,novote,3,1,6,3,1,2,0,1
2417,U09-004,2022AR09B,Valide,2,3,2,1,3,3,1,7,2,2,3,0,0
2423,U09-004,2022AR09B,Valide,3,2,1,2,2,2,1,7,2,4,1,0,0
2424,U09-004,2022AR09B,Valide,novote,3,3,2,novote,novote,1,4,1,1,2,0,3
2425,U09-004,2022AR09B,Valide,3,3,4,1,3,1,4,7,2,0,3,2,0
2427,U09-004,2022AR09B,Valide,3,3,2,3,novote,3,2,6,0,2,4,0,1
2428,U09-004,2022AR09B,Valide,1,1,novote,1,novote,novote,2,4,3,1,0,0,3
2430,U09-004,2022AR09B,Valide,2,novote,1,novote,novote,2,2,4,1,3,0,0,3
2431,U09-004,2022AR09B,Valide,3,3,4,3,novote,3,3,6,0,0,5,1,1
2436,U09-004,2022AR09B,Valide,3,2,4,2,1,2,2,7,1,4,1,1,0
2437,U09-004,2022AR09B,Valide,3,1,3,1,3,3,2,7,2,1,4,0,0
2439,U09-004,2022AR09B,Valide,3,4,1,1,3,4,4,7,2,0,2,3,0
