ID,Urne,QR-Code,Categorie,1 - Des stationnements pour les velos,2 - Renovation espace de glisse JEMMAPES,3 - Un terrain couvert pour les sportifs du 10eme,4 - Aider les sans-abris et lutter contre la precarite menstruelle,5 - Agrandir le jardin du Chalet et favoriser la biodiversite,6 - Des cours d ecoles et de colleges vegetalisees et Oasis,7 - Les ecoliers du 10e pionniers de l egalite numerique,8 - Un eco-lieu pour le 10e,9 - Rendre son lustre a la maison des habitant.e.s du 10e !,10 - Restauration de la Chapelle de la Vierge,11 - Restauration des decors de l eglise Saint-Martin-des-Champs,12 - Restaurer les grilles de l eglise Saint-Vincent-de-Paul,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
54575,U75-002,2022AR10A,Valide,1,novote,1,1,novote,novote,novote,novote,1,1,1,1,7,7,0,0,0,5
54944,U75-002,2022AR10A,Valide,4,4,3,4,2,2,2,2,1,2,1,1,12,3,5,1,3,0
55639,U75-002,2022AR10A,Valide,1,novote,novote,1,novote,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,8
55687,U75-004,2022AR10A,Valide,2,novote,novote,novote,novote,novote,novote,3,novote,1,2,novote,4,1,2,1,0,8
55736,U75-002,2022AR10A,Valide,1,3,3,1,1,2,3,1,3,3,3,3,12,4,1,7,0,0
55950,U75-002,2022AR10A,Valide,1,1,1,1,3,3,3,4,1,4,1,1,12,7,0,3,2,0
56400,U75-002,2022AR10A,Valide,1,1,2,1,2,1,3,3,3,3,3,2,12,4,3,5,0,0
56908,U75-002,2022AR10A,Valide,3,novote,1,4,4,4,1,3,novote,1,1,1,10,5,0,2,3,2
57268,U75-004,2022AR10A,Valide,novote,novote,novote,novote,2,2,novote,novote,novote,1,1,2,5,2,3,0,0,7
58565,U75-003,2022AR10A,Valide,3,4,1,1,3,3,1,3,3,4,4,4,12,3,0,5,4,0
59830,U75-003,2022AR10A,Valide,3,3,2,1,1,3,4,3,4,1,1,1,12,5,1,4,2,0
60575,U75-002,2022AR10A,Valide,1,1,2,1,3,2,3,2,3,3,2,3,12,3,4,5,0,0
60991,U75-002,2022AR10A,Valide,novote,1,1,novote,2,1,novote,novote,novote,novote,novote,1,5,4,1,0,0,7
61496,U75-003,2022AR10A,Valide,novote,novote,1,1,2,novote,novote,novote,novote,1,1,1,6,5,1,0,0,6
61506,U75-003,2022AR10A,Valide,1,novote,novote,2,novote,1,novote,1,novote,novote,novote,novote,4,3,1,0,0,8
61539,U75-002,2022AR10A,Valide,1,2,2,1,1,2,1,1,2,novote,novote,novote,9,5,4,0,0,3
61787,U75-004,2022AR10A,Valide,3,novote,2,1,novote,novote,1,novote,3,1,1,novote,7,4,1,2,0,5
61849,U75-003,2022AR10A,Nul,3 4,novote,4,1,1,novote,1,novote,novote,novote,2,novote,5,3,1,0,1,6
61964,U75-003,2022AR10A,Valide,2,novote,3,2,2,1,novote,novote,novote,3,novote,3,7,1,3,3,0,5
63068,U75-003,2022AR10A,Valide,3,3,2,3,3,3,2,3,1,1,1,2,12,3,3,6,0,0
63482,U75-002,2022AR10A,Valide,2,2,1,1,2,1,1,2,1,1,1,1,12,8,4,0,0,0
63525,U75-002,2022AR10A,Valide,3,3,3,1,3,4,1,1,1,3,3,novote,11,4,0,6,1,1
63614,U75-003,2022AR10A,Valide,3,4,2,2,4,2,2,1,4,novote,novote,4,10,1,4,1,4,2
63867,U75-003,2022AR10A,Valide,2,1,2,1,1,2,2,2,2,1,1,2,12,5,7,0,0,0
64112,U75-002,2022AR10A,Valide,2,2,2,1,1,4,2,2,3,3,2,2,12,2,7,2,1,0
