ID,Urne,QR-Code,Categorie,1 - Ameliorer les equipements sportifs du 11e pour en developper l usage,2 - Innover au service de toutes et tous dans le 11e,3 - Rendre le 11e encore plus vert,4 - Amenager et equiper les ecoles du 11e,5 - Creer une cour Oasis pour les ecoles Belleville et Presentation,6 - Equiper les colleges du 11e pour developper les apprentissages,"7 - Embellir l eglise Saint-Ambroise, patrimoine du 11e",8 - Embellir le 11e grace a des œuvres sur les murs,9 - Favoriser la vie culturelle du quartier Belleville Saint-Maur,10 - Apaiser la circulation et partager l espace public du 11e,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
48231,U75-004,2022AR11A,Valide,novote,1,1,novote,novote,novote,1,1,novote,1,5,5,0,0,0,5
49772,U75-004,2022AR11A,Valide,1,novote,1,novote,novote,novote,1,novote,novote,1,4,4,0,0,0,6
52690,U75-004,2022AR11A,Valide,1,2,1,2,3,3,2,1,2,1,10,4,4,2,0,0
52981,U75-002,2022AR11B,Valide,2,3,1,2,3,2,3,1,2,2,10,2,5,3,0,0
53661,U75-004,2022AR11A,Valide,2,novote,1,2,novote,2,novote,1,novote,1,6,3,3,0,0,4
53932,U75-002,2022AR11B,Valide,3,1,1,1,3,1,2,3,3,2,10,4,2,4,0,0
54154,U75-002,2022AR11B,Valide,1,novote,1,1,novote,novote,1,1,novote,novote,5,5,0,0,0,5
54467,U75-004,2022AR11A,Valide,2,4,3,1,2,1,1,1,1,3,10,5,2,2,1,0
55017,U75-004,2022AR11A,Valide,3,2,1,3,3,3,3,3,3,3,10,1,1,8,0,0
55070,U75-002,2022AR11B,Nul,2,2,1,3,3,4,2,3,1,2 4,9,2,3,3,1,0
55330,U75-002,2022AR11B,Nul,novote,novote,1,novote,novote,novote,novote,novote,1,1,3,3,0,0,0,7
55981,U75-002,2022AR11A,Valide,2,2,2,novote,novote,novote,2,novote,2,1,6,1,5,0,0,4
56758,U75-002,2022AR11B,Valide,novote,1,1,novote,novote,novote,novote,2,novote,2,4,2,2,0,0,6
56962,U75-004,2022AR11A,Valide,1,1,novote,2,2,3,4,1,3,1,9,4,2,2,1,1
57114,U75-002,2022AR11B,Valide,2,2,1,3,2,4,3,1,1,2,10,3,4,2,1,0
57198,U75-005,2022AR11A,Valide,3,2,1,2,4,4,4,2,3,1,10,2,3,2,3,0
57221,U75-002,2022AR11B,Valide,novote,novote,3,2,3,2,3,2,4,3,8,0,3,4,1,2
58765,U75-003,2022AR11A,Valide,2,2,2,novote,novote,novote,3,2,novote,novote,5,0,4,1,0,5
58902,U75-003,2022AR11A,Valide,novote,1,1,3,3,3,4,2,3,2,9,2,2,4,1,1
