ID,Urne,QR-Code,Categorie,1 - Ameliorer l accueil des sportifs dans le 12e arrondissement,2 - Renover nos Terrains d’Education Physique (TEP),3 - Faire du 12e un arrondissement plus solidaire,4 - Realiser deux amenagements ponctuels et mesurer la pollution sonore,"5 - Sublimer nos squares, parcs et jardins",6 - Ameliorer le quotidien des eleves du 12e,7 - Faisons du 12e un arrondissement toujours plus culturel !,8 - Renovons notre Patrimoine,9 - Restaurer la facade de l eglise du Rendez vous,10 - Ameliorer le quotidien des habitant·e·s du quartier Bel-Air Nord,11 - Renforcer l accessibilite et l inclusivite dans le 12e arrondissement,12 - Valoriser les squares du quartier Erard-Rozanoff,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
47889,U75-004,2022AR12A,Valide,2,1,3,3,1,1,3,1,1,1,3,4,12,6,1,4,1,0
48015,U75-004,2022AR12A,Valide,novote,novote,novote,novote,1,novote,novote,1,2,1,novote,novote,4,3,1,0,0,8
48276,U75-005,2022AR12A,Valide,novote,1,novote,novote,1,1,novote,novote,novote,novote,novote,1,4,4,0,0,0,8
48691,U75-004,2022AR12A,Valide,3,3,3,4,1,4,4,1,1,1,2,3,12,4,1,4,3,0
49400,U75-004,2022AR12A,Valide,2,2,3,4,1,4,3,1,3,4,4,4,12,2,2,3,5,0
49788,U75-004,2022AR12A,Valide,1,novote,novote,novote,1,novote,novote,novote,1,novote,novote,1,4,4,0,0,0,8
51386,U75-004,2022AR12A,Valide,1,1,3,2,1,3,2,2,2,1,3,2,12,4,5,3,0,0
51509,U75-004,2022AR12A,Valide,1,1,1,1,novote,novote,1,novote,novote,novote,novote,novote,5,5,0,0,0,7
52442,U75-004,2022AR12A,Valide,novote,novote,novote,novote,1,novote,1,1,1,novote,novote,novote,4,4,0,0,0,8
52669,U75-002,2022AR12A,Nul,1,1,2,novote,novote,novote,novote,novote,novote,novote,novote,novote,3,2,1,0,0,9
53221,U75-004,2022AR12A,Valide,1,novote,novote,novote,1,novote,1,novote,novote,1,novote,novote,4,4,0,0,0,8
53366,U75-004,2022AR12A,Valide,1,3,2,4,1,2,3,2,3,3,2,3,12,2,4,5,1,0
53536,U75-002,2022AR12A,Valide,1,novote,1,novote,1,1,2,2,4,4,1,1,10,6,2,0,2,2
54186,U75-002,2022AR12A,Valide,4,3,2,2,1,2,1,2,3,3,1,3,12,3,4,4,1,0
54673,U75-002,2022AR12A,Valide,3,4,1,2,2,2,2,3,1,2,3,3,12,2,5,4,1,0
54908,U75-002,2022AR12A,Valide,1,1,3,1,1,1,1,1,3,3,3,3,12,7,0,5,0,0
55350,U75-002,2022AR12A,Valide,1,1,2,3,1,2,3,3,2,3,2,2,12,3,5,4,0,0
56008,U75-005,2022AR12A,Valide,4,4,2,1,1,1,2,2,2,2,2,novote,11,3,6,0,2,1
56088,U75-002,2022AR12A,Valide,3,2,2,1,2,1,1,1,3,2,2,2,12,4,6,2,0,0
56539,U75-004,2022AR12A,Valide,3,3,4,2,2,2,2,2,3,2,3,2,12,0,7,4,1,0
57105,U75-002,2022AR12A,Valide,3,2,1,2,2,1,2,1,3,3,1,2,12,4,5,3,0,0
57347,U75-002,2022AR12A,Valide,3,3,3,3,1,2,3,1,2,2,1,3,12,3,3,6,0,0
57877,U75-002,2022AR12B,Valide,1,1,2,4,2,4,4,4,1,1,1,4,12,5,2,0,5,0
57988,U75-003,2022AR12A,Valide,novote,novote,1,2,2,2,1,2,3,2,2,1,10,3,6,1,0,2
58051,U75-003,2022AR12A,Valide,1,1,1,2,1,1,1,2,2,3,2,3,12,6,4,2,0,0
58447,U75-003,2022AR12A,Valide,2,2,2,1,1,1,1,2,4,2,2,1,12,5,6,0,1,0
58469,U75-003,2022AR12A,Valide,2,1,3,3,2,1,3,3,3,3,1,3,12,3,2,7,0,0
58481,U75-002,2022AR12A,Nul,novote,novote,novote,novote,novote,novote,1 2 3,novote,novote,1,1,1,3,3,0,0,0,8
58515,U75-002,2022AR12A,Valide,novote,novote,novote,1,novote,novote,1,1,novote,novote,1,novote,4,4,0,0,0,8
58795,U75-003,2022AR12A,Valide,3,3,4,3,2,1,1,2,2,1,2,3,12,3,4,4,1,0
59089,U75-003,2022AR12A,Valide,3,1,1,novote,1,1,2,3,3,novote,1,2,10,5,2,3,0,2
59206,U75-003,2022AR12A,Valide,3,3,2,3,2,1,1,2,3,2,1,novote,11,3,4,4,0,1
59241,U75-004,2022AR12A,Valide,2,2,3,1,1,3,3,1,2,3,3,4,12,3,3,5,1,0
59393,U75-003,2022AR12B,Valide,1,1,3,1,1,2,1,2,3,novote,2,novote,10,5,3,2,0,2
59509,U75-002,2022AR12A,Valide,2,2,1,2,1,1,1,1,2,2,1,2,12,6,6,0,0,0
59933,U75-003,2022AR12A,Valide,4,4,2,4,2,3,1,1,1,novote,2,novote,10,3,3,1,3,2
60248,U75-003,2022AR12A,Valide,1,1,1,2,2,2,1,2,2,2,1,2,12,5,7,0,0,0
60363,U75-002,2022AR12A,Valide,novote,novote,novote,2,2,novote,novote,2,novote,novote,2,novote,4,0,4,0,0,8
60494,U75-003,2022AR12B,Valide,novote,1,novote,novote,2,novote,novote,2,novote,novote,1,novote,4,2,2,0,0,8
60739,U75-003,2022AR12A,Valide,2,1,1,1,1,1,1,1,1,2,1,2,12,9,3,0,0,0
60862,U75-003,2022AR12A,Valide,1,2,2,1,1,3,2,3,4,4,2,4,12,3,4,2,3,0
60915,U75-002,2022AR12A,Valide,2,novote,novote,2,1,1,novote,novote,novote,novote,novote,novote,4,2,2,0,0,8
60999,U75-003,2022AR12A,Valide,2,2,2,2,1,2,1,1,2,2,2,3,12,3,8,1,0,0
61314,U75-005,2022AR12B,Valide,1,1,novote,novote,1,novote,novote,novote,4,novote,novote,novote,4,3,0,0,1,8
61339,U75-002,2022AR12B,Valide,novote,novote,2,2,novote,2,novote,novote,novote,novote,1,novote,4,1,3,0,0,8
61399,U75-003,2022AR12A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,1,0,0,0,11
61486,U75-003,2022AR12A,Nul,novote,novote,novote,novote,1,4,1,novote,novote,novote,novote,novote,3,2,0,0,1,9
61566,U75-003,2022AR12A,Valide,2,2,2,1,1,2,2,2,3,3,novote,3,11,2,6,3,0,1
61767,U75-003,2022AR12B,Valide,1,1,novote,novote,2,novote,2,2,novote,novote,novote,novote,5,2,3,0,0,7
61829,U75-003,2022AR12A,Nul,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,11
61889,U75-004,2022AR12A,Valide,1,novote,1,1,1,1,1,novote,2,2,1,2,10,7,3,0,0,2
62081,U75-003,2022AR12A,Valide,2,1,2,1,1,2,1,1,1,1,2,1,12,8,4,0,0,0
62456,U75-002,2022AR12B,Valide,novote,novote,1,1,1,novote,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
62642,U75-003,2022AR12A,Valide,novote,novote,2,3,3,3,1,novote,3,1,1,3,9,3,1,5,0,3
62702,U75-002,2022AR12A,Valide,1,1,1,3,2,1,1,2,2,1,1,1,12,8,3,1,0,0
62794,U75-003,2022AR12A,Valide,3,3,3,1,1,1,1,1,3,2,3,3,12,5,1,6,0,0
