ID,Urne,QR-Code,Categorie,1 - La modernisation du centre sportif Georges Carpentier,2 - Une activite sportive pour toutes et tous !,3 - Maison des Associations et club-house : se retrouver et recevoir !,4 - Vos projets pour faire du partage une valeur commune !,5 - Ameliorer l acces aux outils numeriques dans les ecoles !,6 - Modernisation et renovation de vos Centres Paris Anim,7 - Vegetaliser et rafraichir les cours des ecoles et colleges,8 - Vos projets pour ameliorer le cadre de vie dans nos écoles !,9 - De la place pour les animaux au Parc de Choisy : plus de biodiversite,"10 - Vos micro-quartiers : fresques, jeux, jardins et accessibilite !",Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
13188,U13-031,2022AR13B,Valide,1,1,1,1,1,1,1,1,3,2,10,8,1,1,0,0
13292,U13-031,2022AR13B,Valide,4,1,3,1,4,1,2,2,3,1,10,4,2,2,2,0
13382,U13-031,2022AR13B,Nul,novote,novote,novote,novote,novote,novote,1,1,novote,1,3,3,0,0,0,7
13615,U13-031,2022AR13B,Valide,novote,novote,1,2,2,novote,2,novote,novote,novote,4,1,3,0,0,6
13644,U13-031,2022AR13B,Valide,4,2,1,1,4,1,3,4,1,4,10,4,1,1,4,0
13658,U13-031,2022AR13B,Valide,3,3,novote,novote,1,3,1,novote,novote,1,6,3,0,3,0,4
13692,U13-031,2022AR13B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
15262,U13-031,2022AR13B,Valide,1,novote,novote,novote,novote,novote,1,1,1,novote,4,4,0,0,0,6
15795,U13-031,2022AR13B,Nul,novote,2,novote,novote,novote,novote,1,novote,2,novote,3,1,2,0,0,7
16433,U13-066,2022AR13A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
16442,U13-031,2022AR13B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
16652,U13-066,2022AR13A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
17670,U13-066,2022AR13A,Valide,3,2,3,4,3,3,4,2,3,3,10,0,2,6,2,0
17698,U13-032,2022AR13A,Valide,1,novote,1,novote,novote,1,1,novote,novote,novote,4,4,0,0,0,6
18040,U13-032,2022AR13A,Valide,4,3,1,1,1,2,2,2,2,1,10,4,4,1,1,0
18070,U13-032,2022AR13A,Valide,novote,1,1,1,novote,novote,1,novote,novote,novote,4,4,0,0,0,6
18082,U13-032,2022AR13A,Valide,1,1,1,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,6
18159,U13-032,2022AR13A,Nul,1 2,1,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,8
