ID,Urne,QR-Code,Categorie,1 - Ce serait Elisa « bete » de jouer au tennis sous la pluie !,2 - La balle est dans votre camp pour plus de sport au Stade Didot !,3 - Creons une oasis associative et citoyenne a Porte de Vanves !,4 - Du matos pour les assoc !,5 - Adoucir et rafraichir les espaces verts du 14e,6 - Jouons toutes et tous ensemble !,7 - Ouvrons les ecoles aux enfants extraordinaires !,"8 - Mettre en valeur l Aqueduc Medicis, lieu de patrimoine et d histoire",9 - Un musee a ciel ouvert en quartier populaire !,10 - Un vent de fraicheur sur le patrimoine du 14e,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
8008,U14-023,2022AR14A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
8012,U14-013,2022AR14A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
8048,U14-013,2022AR14A,Valide,3,3,3,1,1,3,3,3,3,3,10,2,0,8,0,0
8078,U14-013,2022AR14A,Nul,novote,novote,novote,1,1,novote,novote,novote,novote,novote,2,2,0,0,0,8
8202,U14-013,2022AR14A,Valide,1,1,novote,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,6
8215,U14-013,2022AR14A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
8246,U14-023,2022AR14A,Nul,novote,novote,novote,2,novote,novote,novote,novote,novote,novote,1,0,1,0,0,9
8264,U14-013,2022AR14A,Valide,3,1,3,1,1,1,1,3,1,1,10,7,0,3,0,0
8294,U14-013,2022AR14A,Valide,1,novote,2,novote,4,1,1,novote,4,1,7,4,1,0,2,3
8322,U14-023,2022AR14A,Valide,1,2,2,3,2,2,2,3,3,3,10,1,5,4,0,0
8342,U14-023,2022AR14A,Valide,4,3,2,3,2,3,3,4,4,3,10,0,2,5,3,0
8372,U14-013,2022AR14A,Valide,novote,novote,novote,1,1,novote,1,novote,1,novote,4,4,0,0,0,6
8515,U14-005,2022AR14A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,0,0,0,9
8531,U14-005,2022AR14A,Valide,2,1,1,1,1,2,1,2,novote,2,9,5,4,0,0,1
8560,U14-005,2022AR14A,Valide,3,4,3,1,1,2,2,1,1,1,10,5,2,2,1,0
8579,U14-013,2022AR14A,Valide,1,1,novote,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,6
8627,U14-013,2022AR14A,Valide,novote,1,novote,1,1,novote,1,novote,novote,novote,4,4,0,0,0,6
8647,U14-005,2022AR14A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
8667,U14-013,2022AR14A,Valide,novote,novote,novote,1,1,novote,novote,1,novote,1,4,4,0,0,0,6
8695,U14-023,2022AR14A,Valide,novote,novote,1,1,2,2,novote,novote,novote,novote,4,2,2,0,0,6
8740,U14-013,2022AR14A,Nul,2,3,1 2 3 4,1,2,3,2,4,4,3,9,1,3,3,2,0
8747,U14-013,2022AR14A,Valide,4,3,2,1,2,2,3,1,3,1,10,3,3,3,1,0
