ID,Urne,QR-Code,Categorie,1 - Favoriser la pratique sportive dans le 15e,2 - Un nouvel espace d escalade au centre sportif La Plaine,3 - Un 15e encore plus solidaire,4 - Un cafe des enfants,5 - Un coup de vert dans le 15e,6 - Des cours d ecoles renovees pour le bien-etre des ecoliers,7 - Des tableaux numeriques interactifs dans toutes les ecoles maternelles,8 - Un kit mobile multimedia pour la jeunesse,9 - Restaurons les decors de Saint-Christophe de Javel,10 - Le renouveau des Freres Voisin,11 - Un espace public pacifie et adapte a tous,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
48246,U75-004,2022AR15B,Valide,1,1,1,novote,1,novote,novote,novote,novote,novote,novote,4,4,0,0,0,7
48984,U75-004,2022AR15B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
49745,U75-005,2022AR15B,Valide,1,1,1,2,1,1,3,3,2,2,2,11,5,4,2,0,0
50060,U75-004,2022AR15B,Valide,1,novote,novote,novote,1,novote,novote,novote,novote,1,1,4,4,0,0,0,7
51135,U75-005,2022AR15B,Valide,1,2,1,1,1,1,4,2,2,2,2,11,5,5,0,1,0
51363,U75-004,2022AR15B,Valide,novote,novote,2,novote,2,2,novote,novote,novote,novote,2,4,0,4,0,0,7
51395,U75-004,2022AR15B,Valide,2,3,3,3,1,3,3,3,3,3,1,11,2,1,8,0,0
51951,U75-004,2022AR15B,Valide,novote,novote,2,3,1,2,4,4,novote,2,1,8,2,3,1,2,3
52011,U75-004,2022AR15B,Valide,1,1,1,1,1,2,3,3,2,2,2,11,5,4,2,0,0
52132,U75-005,2022AR15B,Valide,1,3,2,2,1,1,4,novote,novote,1,2,9,4,3,1,1,2
52309,U75-004,2022AR15B,Valide,2,2,2,4,1,2,3,3,2,2,1,11,2,6,2,1,0
52336,U75-004,2022AR15B,Valide,1,1,4,4,1,3,4,3,3,4,1,11,4,0,3,4,0
52651,U75-002,2022AR15A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
53184,U75-002,2022AR15B,Valide,2,2,2,2,1,2,3,3,2,3,2,11,1,7,3,0,0
53361,U75-002,2022AR15B,Valide,4,4,4,2,1 1,1 1 2,1 1 2,2 1 2 3,4 1 2 3,2 1 2,1,5,1,1,0,3,0
54125,U75-002,2022AR15A,Valide,1,3,3,3,1,3,3,3,1,1,1,11,5,0,6,0,0
54349,U75-005,2022AR15B,Valide,2,1,1,1,1,1,2,2,3,3,1,11,6,3,2,0,0
54406,U75-004,2022AR15B,Valide,1,1,1,3,1,4,4,1,3,3,1,11,6,0,3,2,0
54489,U75-002,2022AR15B,Valide,1,1,1,2,3,1,1,2,3,3,1,11,6,2,3,0,0
54731,U75-002,2022AR15B,Valide,2,4,1,4,1,3,4,1,2,2,3,11,3,3,2,3,0
55172,U75-004,2022AR15B,Valide,novote,novote,2,novote,2,novote,novote,2,2,3,novote,5,0,4,1,0,6
55250,U75-004,2022AR15B,Valide,novote,novote,1,novote,1,1,novote,novote,novote,novote,1,4,4,0,0,0,7
55278,U75-004,2022AR15B,Valide,3,2,2,1,2,1,novote,1,1,3,1,10,5,3,2,0,1
55773,U75-005,2022AR15B,Valide,1,4,1,3,1,novote,novote,novote,4,4,1,8,4,0,1,3,3
56094,U75-004,2022AR15B,Valide,2,3,1,1,3,2,1,1,3,3,3,11,4,2,5,0,0
56573,U75-004,2022AR15B,Valide,2,2,2,2,1,3,3,2,2,2,2,11,1,8,2,0,0
57072,U75-005,2022AR15B,Valide,1,1,1,1,1,1,1,1,1,1,1,11,11,0,0,0,0
57312,U75-004,2022AR15B,Valide,1,2,1,3,1,2,4,3,3,3,1,11,4,2,4,1,0
57598,U75-004,2022AR15B,Valide,2,1,4,2,2,4,4,2,2,3,2,11,1,6,1,3,0
57979,U75-003,2022AR15B,Nul,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,1,0,0,0,10
58583,U75-003,2022AR15B,Valide,2,novote,novote,novote,1,1,3,4,4,3,2,8,2,2,2,2,3
58584,U75-004,2022AR15B,Valide,1,novote,1,novote,1,novote,novote,novote,novote,1,novote,4,4,0,0,0,7
58666,U75-003,2022AR15B,Valide,1,1,3,2,2,2,4,2,2,3,2,11,2,6,2,1,0
58741,U75-003,2022AR15B,Valide,1,3,1,3,1,2,3,1,4,4,2,11,4,2,3,2,0
59068,U75-004,2022AR15B,Valide,4,4,4,4,1,novote,novote,2,1,4,2,9,2,2,0,5,2
59309,U75-003,2022AR15B,Valide,3,3,2,3,2,1,1,2,4,1,2,11,3,4,3,1,0
59546,U75-003,2022AR15B,Nul,novote,novote,1,novote,1,novote,novote,novote,novote,novote,novote,2,2,0,0,0,9
59611,U75-003,2022AR15B,Valide,2,1,2,novote,1,1,4,2,3,2,1,10,4,4,1,1,1
59637,U75-003,2022AR15B,Valide,1,1,1,1,1,1,1,1,1,1,2,11,10,1,0,0,0
59665,U75-003,2022AR15B,Valide,2,2,1,4,1,1,1,1,1,4,1,11,7,2,0,2,0
59702,U75-002,2022AR15A,Valide,2,novote,1,novote,1,novote,novote,novote,novote,1,novote,4,3,1,0,0,7
59755,U75-003,2022AR15B,Valide,3,3,3,2,2,1,1,1,4,novote,1,10,4,2,3,1,1
59896,U75-003,2022AR15B,Valide,3,1,1,3,1,3,3,3,3,3,1,11,4,0,7,0,0
60102,U75-003,2022AR15B,Valide,1,1,2,1,1,1,1,1,3,3,1,11,8,1,2,0,0
60209,U75-003,2022AR15B,Valide,2,3,2,1,2,1,4,3,1,3,3,11,3,3,4,1,0
60429,U75-004,2022AR15B,Valide,1,3,2,3,1,1,2,2,3,3,3,11,3,3,5,0,0
60774,U75-003,2022AR15B,Valide,1,4,1,2,1,1,2,3,3,2,2,11,4,4,2,1,0
60804,U75-003,2022AR15B,Valide,2,2,2,2,1,1,3,2,2,3,1,11,3,6,2,0,0
60827,U75-003,2022AR15B,Valide,novote,4,4,4,1,4,4,4,2,3,3,10,1,1,2,6,1
60981,U75-002,2022AR15A,Valide,2,novote,1,novote,1,novote,novote,novote,novote,1,novote,4,3,1,0,0,7
61140,U75-003,2022AR15B,Valide,1,2,4,3,1,2,novote,2,2,3,1,10,3,4,2,1,1
61153,U75-002,2022AR15B,Valide,2,1,novote,3,1,2,4,1,4,4,4,10,3,2,1,4,1
61259,U75-003,2022AR15B,Valide,1,3,2,1,2,2,1,2,3,3,2,11,3,5,3,0,0
61306,U75-003,2022AR15B,Valide,1,novote,novote,novote,1,1,4,novote,3,novote,2,6,3,1,1,1,5
61308,U75-002,2022AR15B,Valide,1,2,3,3,3,2,3,1,1,3,2,11,3,3,5,0,0
61465,U75-003,2022AR15B,Valide,1,novote,novote,novote,1,1,novote,novote,novote,2,novote,4,3,1,0,0,7
61468,U75-004,2022AR15B,Valide,1,2,2,1,1,1,2,2,3,3,3,11,4,4,3,0,0
61642,U75-003,2022AR15B,Valide,1,1,2,1,1,2,2,2,novote,2,2,10,4,6,0,0,1
61712,U75-005,2022AR15B,Valide,1,novote,2,novote,novote,novote,novote,2,novote,novote,2,4,1,3,0,0,7
61945,U75-002,2022AR15B,Valide,4,4,1,4,1,1,4,4,1,4,2,11,4,1,0,6,0
61997,U75-003,2022AR15B,Valide,1,2,3,3,1,3,4,2,2,2,2,11,2,5,3,1,0
62008,U75-003,2022AR15B,Valide,1,novote,novote,1,1,novote,novote,1,1,novote,3,6,5,0,1,0,5
62292,U75-003,2022AR15B,Valide,novote,2,1,novote,2,novote,novote,novote,novote,1,novote,4,2,2,0,0,7
62320,U75-002,2022AR15B,Valide,2,3,2,3,1,2,2,1,3,novote,3,10,2,4,4,0,1
