ID,Urne,QR-Code,Categorie,1 - Renover le terrain du stade de la Muette,2 - Acquerir un kiosque mobile d informations sociales pour Auteuil-Sud,3 - Nettoyer le mur des rampes du Pont de Bir-Hakeim,4 - Nettoyer les murs exterieurs du cimetiere de Passy,5 - Apaiser la circulation automobile dans le 16e,6 - Installer des preaux dans deux ecoles du 16e,7 - Aider a la renovation du domaine de Bagatelle,8 - Restaurer le monument Claude Debussy,9 - Ameliorer le cadre de vie dans le Bois de Boulogne,10 - Restaurer la Fontaine Victor Hugo,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
45,U16-005,2022AR16B,Nul,novote,novote,novote,1,novote,novote,novote,1,1,novote,3,3,0,0,0,7
55,U16-005,2022AR16A,Valide,2,novote,1,novote,1,novote,3,2,1,novote,6,3,2,1,0,4
56,U16-005,2022AR16A,Valide,4,1,3,3,1,3,3,3,3,2,10,2,1,6,1,0
60,U16-005,2022AR16B,Valide,1,1,1,novote,1,1,1,1,1,1,9,9,0,0,0,1
62,U16-005,2022AR16B,Nul,novote,1,novote,novote,novote,2,novote,novote,novote,novote,2,1,1,0,0,8
64,U16-005,2022AR16A,Valide,2,novote,novote,novote,1,1,1,novote,novote,novote,4,3,1,0,0,6
69,U16-005,2022AR16B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
73,U16-005,2022AR16B,Valide,novote,novote,2,2,novote,2,novote,novote,novote,2,4,0,4,0,0,6
75,U16-005,2022AR16B,Nul,novote,1,novote,novote,novote,1,novote,novote,novote,novote,2,2,0,0,0,8
80,U16-005,2022AR16A,Valide,4,4,4,4,4,4,1,4,1,3,10,2,0,1,7,0
93,U16-005,2022AR16A,Valide,novote,novote,1,novote,1,novote,1,novote,1,novote,4,4,0,0,0,6
97,U16-005,2022AR16A,Valide,1,3,2,2,4,1,2,3,1,2,10,3,4,2,1,0
102,U16-005,2022AR16B,Valide,3,2,3,novote,1,1,2,novote,1,novote,7,3,2,2,0,3
119,U16-005,2022AR16B,Valide,4,1,3,3,2,4,2,4,1,4,10,2,2,2,4,0
129,U16-005,2022AR16A,Valide,2,4,2,4,2,4,3,1,2,2,10,1,5,1,3,0
133,U16-005,2022AR16A,Valide,2,2,2,1,4,1,2,4,1,2,10,3,5,0,2,0
155,U16-005,2022AR16B,Valide,novote,novote,2,novote,2,novote,1,novote,1,novote,4,2,2,0,0,6
162,U16-005,2022AR16A,Valide,3,3,3,3,2,3,3,4,4,4,10,0,1,6,3,0
163,U16-005,2022AR16B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,1,0,0,0,9
