ID,Urne,QR-Code,Categorie,"1 - Velo, velo, velo !",2 - Ameliorer les terrains sportifs du 17eme !,3 - Creation d un espace de glisse urbaine,4 - Des equipements sportifs moins energivores et mieux securises !,5 - Des equipements sportifs plus inclusifs,6 - Du tennis et du padel !,7 - Renover les gymnases du 17eme !,8 - Des locaux equipes pour un quartier plus solidaire,9 - Securiser les carrefours dangereux et les abords des ecoles,10 - Vers plus de vert dans le 17eme !,11 - Renover l ecole Bessieres aux Epinettes,12 - Renovons les ecoles du 17eme !,13 - Renover les marches couverts du 17eme,14 - Super ! La ressourcerie des familles,15 - De l art hors les murs !,16 - Patrimoine et memoire : restaurer et valoriser le 17eme !,17 - Reamenager la place des Ternes !,18 - Refection des chaussees boulevard des Batignolles,19 - Refection des trottoirs avenues de Clichy et St-Ouen,20 - Renovation de la rue de Rome et du boulevard Pereire,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
46691,U75-004,2022AR17A,Valide,3,2,3,2,3,1,2,2,2,1,2,2,2,2,3,2,2,2,3,2,20,2,13,5,0,0
48332,U75-005,2022AR17A,Valide,3,1,novote,novote,1,3,1,2,1,novote,2,1,1,novote,1,1,1,2,2,2,16,9,5,2,0,4
48583,U75-005,2022AR17A,Valide,1,4,4,2,2,3,3,2,1,1,3,3,2,novote,1,1,1,1,1,1,19,9,4,4,2,1
48997,U75-004,2022AR17A,Valide,2,novote,novote,novote,novote,novote,novote,novote,2,1,novote,novote,novote,novote,novote,novote,novote,1,1,1,6,4,2,0,0,14
52202,U75-005,2022AR17A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,20
53271,U75-004,2022AR17A,Valide,2,3,4,1,1,1,3,2,1,1,3,2,2,2,2,1,1,2,4,1,20,8,7,3,2,0
53650,U75-004,2022AR17A,Valide,1,novote,novote,novote,novote,1,novote,1,2,1,novote,novote,novote,novote,4,1,3,2,1,novote,10,6,2,1,1,10
53841,U75-005,2022AR17A,Valide,4,1,2,1,2,3,3,3,2,2,2,2,3,3,2,1,1,2,2,2,20,4,10,5,1,0
54791,U75-005,2022AR17A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,20
55102,U75-005,2022AR17A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,20
