ID,Urne,QR-Code,Categorie,1 - Favoriser le lien social et les pratiques artistiques et sportives,2 - Kits pedagogiques pour parler aux enfants des personnes SDF,3 - Lutter contre les inegalites d acces,4 - Securiser et amenager pour favoriser les mobilites douces,5 - Vegetaliser l arrondissement et amenager les parcs et jardins,6 - Doter les ecoles du 18e de davantage d outils numeriques,7 - Creer une ecole des metiers du velo du Grand Paris,8 - Mettre en lumiere les monuments de Chapelle Marx Dormoy,9 - Mettre en valeur l histoire du quartier La Chapelle,10 - Restaurer la fleche de l eglise St-Bernard,11 - Restaurer le patrimoine cultuel,12 - Mettre de la couleur sur les murs,13 - Vegetaliser et ameliorer les lieux publics dans les quartiers,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
47730,U75-004,2022AR18B,Valide,4,3,4,3,3,3,novote,1,1,1,1,4,2,12,4,1,4,3,1
50510,U75-005,2022AR18B,Valide,3,1,1,1,1,1,3,4,3,4,2,3,2,13,5,2,4,2,0
50796,U75-005,2022AR18B,Valide,1,1,1,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,9
51627,U75-004,2022AR18B,Valide,1,1,2,2,1,4,4,4,4,4,3,3,1,13,4,2,2,5,0
53361,U75-002,2022AR15B,Valide,4,4,4,2,1 1,1 1 2,1 1 2,2 1 2 3,4 1 2 3,2 1 2,1,novote,1 2 3,5,1,1,0,3,1
53704,U75-002,2022AR18B,Valide,2,1,1,1,1,2,2,2,2,1,1,1,1,13,8,5,0,0,0
53833,U75-004,2022AR18B,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,2,novote,2,2,5,2,3,0,0,8
56369,U75-004,2022AR18B,Valide,2,1,1,1,1,2,1,3,2,4,2,2,1,13,6,5,1,1,0
57148,U75-002,2022AR18B,Valide,1,1,1,1,1,2,3,3,2,3,1,2,1,13,7,3,3,0,0
57459,U75-002,2022AR18B,Valide,1,1,1,3,1,3,4,4,3,4,4,3,1,13,5,0,4,4,0
58040,U75-003,2022AR18B,Valide,1,1,1,3,1,1,2,3,3,3,2,4,1,13,6,2,4,1,0
58363,U75-002,2022AR18B,Valide,2,2,1,1,1,1,3,2,1,3,1,3,1,13,7,3,3,0,0
