ID,Urne,QR-Code,Categorie,1 - Developper les stationnements velos dans le 19e,2 - Faciliter les deplacements des pietons et des cyclistes,3 - Marcher et pedaler en toute securite,4 - Destination 2024 : le 19e a l heure du sport,5 - Modernisons nos equipements pour faire du sport ensemble,6 - Faire vivre l inclusion dans le 19e,7 - Soutenons le dynamisme associatif et solidaire de nos quartiers,8 - Rafraichir la ville et promouvoir la biodiversite,"9 - Cours vegetalisees, musique et lecture pour mieux vivre a l ecole",10 - Plus belles nos ecoles : de la nature et du ciel bleu,"11 - Art, patrimoine et couleur : le 19e plus culturel",12 - Embellir et illuminer les rues et jardins de nos quartiers,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
46588,U19-003,2022AR19A,Valide,2,2,1,2,2,2,2,1,1,1,3,2,12,4,7,1,0,0
46637,U19-003,2022AR19A,Valide,novote,novote,novote,novote,novote,1,novote,novote,1,1,1,novote,4,4,0,0,0,8
46653,U19-003,2022AR19A,Valide,novote,1,1,novote,novote,novote,novote,1,novote,1,novote,novote,4,4,0,0,0,8
46805,U19-003,2022AR19A,Valide,novote,novote,novote,novote,1,1,1,novote,1,1,2,1,7,6,1,0,0,5
46920,U19-003,2022AR19A,Valide,novote,novote,novote,4,4,1,4,4,4,4,novote,4,8,1,0,0,7,4
46993,U19-003,2022AR19A,Valide,novote,novote,novote,2,2,1,novote,novote,2,2,novote,novote,5,1,4,0,0,7
47035,U19-003,2022AR19A,Valide,novote,novote,novote,novote,novote,1,1,novote,2,novote,2,novote,4,2,2,0,0,8
47946,U19-003,2022AR19A,Valide,1,1,1,3,3,1,1,1,1,1,2,2,12,8,2,2,0,0
48070,U75-004,2022AR19B,Valide,1,1,1,3,2,1,2,1,1,1,2,1,12,8,3,1,0,0
48340,U19-013,2022AR19A,Nul,novote,novote,novote,novote,1,1,novote,novote,1,novote,novote,novote,3,3,0,0,0,9
48485,U19-013,2022AR19A,Valide,1,2,2,3,2,1,2,1,1,1,2,3,12,5,5,2,0,0
48487,U19-013,2022AR19A,Valide,1,1,1,3,3,4,1,3,1,novote,3,4,11,5,0,4,2,1
48533,U19-003,2022AR19A,Valide,novote,novote,novote,novote,novote,1,novote,2,2,2,novote,novote,4,1,3,0,0,8
48834,U19-013,2022AR19A,Valide,novote,novote,novote,1,1,novote,novote,novote,1,1,novote,1,5,5,0,0,0,7
48986,U19-013,2022AR19A,Valide,3,novote,novote,3,2,1,2,novote,novote,novote,novote,novote,5,1,2,2,0,7
49122,U75-004,2022AR19B,Valide,novote,novote,2,novote,2,novote,novote,2,2,novote,novote,novote,4,0,4,0,0,8
49293,U19-003,2022AR19A,Valide,3,2,novote,novote,novote,novote,2,novote,novote,novote,novote,1,4,1,2,1,0,8
49306,U19-003,2022AR19A,Valide,1,1,1,2,2,3,2,1,3,4,3,2,12,4,4,3,1,0
49349,U19-003,2022AR19A,Valide,novote,novote,novote,novote,1,1,novote,1,novote,1,novote,novote,4,4,0,0,0,8
49524,U19-003,2022AR19A,Valide,novote,novote,novote,2,2,1,1,1,2,1,2,2,9,4,5,0,0,3
49756,U19-003,2022AR19A,Nul,novote,novote,novote,novote,novote,1,novote,1,1,novote,novote,novote,3,3,0,0,0,9
49825,U19-003,2022AR19A,Valide,novote,1,1,novote,novote,novote,novote,1,novote,novote,1,novote,4,4,0,0,0,8
49915,U19-013,2022AR19A,Valide,novote,novote,novote,1,1,2,2,1,1,1,novote,novote,7,5,2,0,0,5
49943,U75-004,2022AR19B,Valide,1,2,1,1,1,2,2,2,1,2,2,2,12,5,7,0,0,0
50081,U19-003,2022AR19A,Valide,novote,novote,novote,novote,novote,1,2,4,2,2,novote,novote,5,1,3,0,1,7
50308,U19-003,2022AR19A,Valide,novote,novote,novote,4,4,1,4,4,4,4,novote,4,8,1,0,0,7,4
50388,U19-013,2022AR19A,Valide,novote,novote,novote,novote,novote,novote,1,novote,2,novote,2,2,4,1,3,0,0,8
50401,U19-003,2022AR19A,Nul,novote,novote,novote,2,novote,1,novote,novote,novote,novote,novote,novote,2,1,1,0,0,10
50422,U19-003,2022AR19A,Valide,novote,novote,novote,novote,novote,1,novote,1,1,1,1,1,6,6,0,0,0,6
50595,U19-003,2022AR19A,Nul,4,novote,novote,novote,novote,1,novote,2,novote,novote,novote,novote,3,1,1,0,1,9
50598,U19-013,2022AR19A,Valide,novote,novote,1,novote,novote,1,novote,novote,1,novote,2,novote,4,3,1,0,0,8
50891,U19-013,2022AR19A,Valide,novote,novote,novote,novote,novote,novote,novote,2,1,1,2,2,5,2,3,0,0,7
50913,U19-003,2022AR19A,Valide,1,1,2,novote,2,1,1,1,2,2,2,2,11,5,6,0,0,1
51070,U19-013,2022AR19A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
51474,U19-013,2022AR19A,Valide,4,4,4,4,4,1,2,4,novote,4,4,4,11,1,1,0,9,1
51515,U19-003,2022AR19A,Valide,novote,novote,novote,novote,novote,1,1,novote,1,1,novote,novote,4,4,0,0,0,8
51535,U19-003,2022AR19A,Valide,novote,novote,1,novote,novote,1,novote,1,1,novote,novote,novote,4,4,0,0,0,8
51536,U19-013,2022AR19A,Valide,1,1,1,1,1,2,1,1,1,1,1,1,12,11,1,0,0,0
51545,U19-003,2022AR19A,Valide,novote,novote,novote,4,4,1,4,4,4,4,novote,novote,7,1,0,0,6,5
51618,U19-003,2022AR19A,Valide,novote,novote,novote,4,4,1,4,4,4,4,novote,novote,7,1,0,0,6,5
51634,U19-013,2022AR19A,Valide,3,3,3,2,2,2,1,2,1,1,1,1,12,5,4,3,0,0
51669,U19-003,2022AR19A,Valide,2,2,1,2,1,2,2,1,1,1,2,4,12,5,6,0,1,0
51694,U19-013,2022AR19A,Valide,novote,novote,novote,1,1,novote,novote,novote,1,1,novote,1,5,5,0,0,0,7
51707,U19-003,2022AR19A,Nul,1 2,2,novote,2,2,1,1,2,1,1,1,3,10,5,4,1,0,1
51711,U19-013,2022AR19A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,2,2,2,0,2,0,0,10
51806,U19-003,2022AR19A,Valide,novote,novote,novote,novote,novote,1,2,novote,2,2,novote,novote,4,1,3,0,0,8
51841,U19-013,2022AR19A,Valide,novote,novote,2,1,2,novote,1,2,1,1,novote,1,8,5,3,0,0,4
51945,U19-013,2022AR19A,Valide,2,1,2,1,1,4,3,1,1,2,3,1,12,6,3,2,1,0
51963,U19-013,2022AR19A,Valide,3,3,2,3,3,3,1,2,1,1,2,2,12,3,4,5,0,0
52228,U19-003,2022AR19A,Valide,4,1,2,3,2,1,1,1,1,2,3,2,12,5,4,2,1,0
52486,U19-003,2022AR19A,Valide,novote,novote,novote,novote,novote,novote,1,1,novote,1,novote,1,4,4,0,0,0,8
52578,U19-013,2022AR19A,Valide,novote,novote,novote,novote,novote,2,novote,3,3,3,3,3,6,0,1,5,0,6
52604,U19-013,2022AR19A,Valide,3,1,3,1,2,1,2,1,1,3,1,1,12,7,2,3,0,0
52661,U75-002,2022AR19B,Valide,2,2,2,2,2,novote,2,2,2,2,2,1,11,1,10,0,0,1
52755,U19-013,2022AR19A,Valide,3,3,3,3,3,1,2,2,1,2,2,1,12,3,4,5,0,0
52860,U19-003,2022AR19A,Valide,novote,1,1,2,2,1,2,2,1,1,2,2,11,5,6,0,0,1
53164,U19-046,2022AR19B,Nul,novote,novote,novote,1,1,novote,novote,novote,novote,novote,novote,novote,2,2,0,0,0,10
53252,U19-013,2022AR19A,Valide,1,novote,novote,1,novote,1,1,novote,1,novote,novote,novote,5,5,0,0,0,7
53279,U19-003,2022AR19A,Nul,2,1,1,4,2,2,1,1,1,1,1,2 3,11,7,3,0,1,0
53330,U19-013,2022AR19A,Valide,1,1,1,novote,novote,novote,novote,novote,1,novote,novote,1,5,5,0,0,0,7
53391,U19-013,2022AR19A,Valide,2,novote,novote,novote,novote,1,novote,2,2,novote,novote,novote,4,1,3,0,0,8
53518,U19-046,2022AR19B,Nul,novote,novote,novote,1,1,novote,novote,novote,novote,novote,novote,novote,2,2,0,0,0,10
53522,U19-003,2022AR19A,Valide,novote,novote,novote,novote,novote,novote,novote,1,2,2,novote,1,4,2,2,0,0,8
53599,U19-003,2022AR19A,Valide,1,1,1,2,2,2,2,1,3,1,1,1,12,7,4,1,0,0
53635,U19-046,2022AR19B,Nul,novote,novote,novote,1,1,novote,novote,novote,novote,novote,novote,novote,2,2,0,0,0,10
53645,U75-002,2022AR19A,Valide,2,1,3,2,1,1,2,2,1,3,3,3,12,4,4,4,0,0
53799,U19-013,2022AR19A,Valide,3,novote,3,3,3,3,3,4,1,1,3,3,11,2,0,8,1,1
53892,U19-003,2022AR19A,Valide,1,1,1,2,2,2,2,1,1,1,1,1,12,8,4,0,0,0
53960,U19-003,2022AR19A,Valide,3,1,1,1,1,2,1,2,2,1,2,3,12,6,4,2,0,0
54067,U75-005,2022AR19B,Valide,4,2,2,4,2,2,2,2,4,2,2,2,12,0,9,0,3,0
