ID,Urne,QR-Code,Categorie,1 - Amenager et equiper les residences sociales,2 - Equiper les associations d alimentation durable,3 - Restaurer la Maison de l Air pour les habitantes et habitants !,4 - Securiser la voirie et apaiser la circulation,5 - Amenager des espaces publics verdoyants pour le 20e,6 - Embellir nos parcs et jardins,7 - Des projets educatifs pour le 20e,8 - Des projets pour la jeunesse du 20e,9 - Renovations energetiques pour les ecoles de la rue Le Vau et la creche collective 8 rue des Lyanes,10 - Embellir le 20e avec des fresques et de la vegetalisation,11 - Poursuivre la restauration de La Fleche d Or : un projet sur les rails !,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
12904,U20-003,2022AR20A,Valide,novote,1,1,novote,1,1,1,novote,novote,1,novote,6,6,0,0,0,5
12919,U20-020,2022AR20B,Valide,1,1,3,3,1,2,2,2,2,1,3,11,4,4,3,0,0
12923,U20-020,2022AR20A,Valide,1,novote,novote,1,1,novote,1,novote,novote,novote,novote,4,4,0,0,0,7
12926,U20-020,2022AR20A,Valide,novote,novote,novote,novote,1,1,1,1,novote,novote,novote,4,4,0,0,0,7
12929,U20-020,2022AR20A,Valide,novote,novote,1,1,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,7
12939,U20-020,2022AR20A,Valide,4,2,3,2,1,1,2,2,4,1,2,11,3,5,1,2,0
12951,U20-020,2022AR20A,Valide,1,2,2,2,2,2,1,1,2,2,1,11,4,7,0,0,0
12964,U20-020,2022AR20B,Valide,1,1,1,4,3,3,2,2,4,2,1,11,4,3,2,2,0
12973,U20-020,2022AR20B,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,2,2,0,0,0,9
12986,U20-020,2022AR20A,Valide,3,3,2,1,1,1,2,2,1,3,2,11,4,4,3,0,0
12989,U20-020,2022AR20B,Valide,2,1,1,2,1,1,2,2,1,4,1,11,6,4,0,1,0
12996,U20-020,2022AR20B,Valide,1,novote,novote,2,novote,1,novote,novote,novote,novote,1,4,3,1,0,0,7
13004,U20-020,2022AR20A,Valide,1,1,3,1,1,1,2,2,4,4,2,11,5,3,1,2,0
13005,U20-020,2022AR20A,Valide,1,1,novote,novote,novote,1,novote,novote,1,novote,novote,4,4,0,0,0,7
13019,U20-020,2022AR20A,Valide,1,1,2,2,1,1,1,1,2,3,1,11,7,3,1,0,0
13021,U20-020,2022AR20A,Valide,novote,1,novote,novote,1,1,1,1,novote,novote,novote,5,5,0,0,0,6
13041,U20-020,2022AR20A,Valide,3,3,3,1,2,2,1,1,3,3,3,11,3,2,6,0,0
13051,U20-020,2022AR20A,Valide,2,2,2,1,1,1,1,1,1,1,2,11,7,4,0,0,0
13073,U20-020,2022AR20A,Valide,novote,novote,novote,novote,1,1,novote,1,novote,1,novote,4,4,0,0,0,7
13075,U20-020,2022AR20B,Valide,1,1,2,2,2,1,1,1,1,novote,novote,9,6,3,0,0,2
13091,U20-020,2022AR20A,Valide,3,2,2,1,1,2,2,2,2,1,2,11,3,7,1,0,0
13095,U20-003,2022AR20A,Valide,3,3,2,3,2,2,2,2,3,1,3,11,1,5,5,0,0
13108,U20-003,2022AR20A,Valide,1,novote,1,1,novote,1,novote,1,novote,novote,novote,5,5,0,0,0,6
13119,U20-020,2022AR20B,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,10
13128,U20-020,2022AR20B,Valide,1,1,1,4,1,1,2,2,2,1,3,11,6,3,1,1,0
13135,U20-020,2022AR20A,Valide,2,2,2,1,1,1,novote,novote,1,1,2,9,5,4,0,0,2
13139,U20-020,2022AR20B,Valide,3,3,4,4,3,2,2,2,2,4,4,11,0,4,3,4,0
13146,U20-020,2022AR20A,Valide,novote,1,novote,1,novote,1,novote,novote,novote,1,1,5,5,0,0,0,6
13152,U20-020,2022AR20B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,0,0,0,10
13161,U20-020,2022AR20B,Valide,3,3,1,1,3,3,3,1,3,1,3,11,4,0,7,0,0
13163,U20-020,2022AR20B,Valide,1,novote,novote,novote,novote,1,novote,1,novote,novote,1,4,4,0,0,0,7
13164,U20-020,2022AR20A,Valide,novote,novote,1,2,novote,novote,novote,1,novote,3,1,5,3,1,1,0,6
13167,U20-020,2022AR20A,Valide,1,novote,1,novote,1,novote,novote,novote,1,novote,novote,4,4,0,0,0,7
13168,U20-020,2022AR20B,Valide,1,novote,1,novote,novote,2,1,novote,novote,novote,novote,4,3,1,0,0,7
13171,U20-020,2022AR20A,Valide,2,2,1,novote,novote,novote,novote,1,novote,novote,novote,4,2,2,0,0,7
13186,U20-020,2022AR20A,Nul,novote,novote,1,novote,novote,novote,1,novote,novote,novote,novote,2,2,0,0,0,9
13187,U20-020,2022AR20B,Valide,novote,novote,1,2,novote,novote,novote,novote,novote,1,2,4,2,2,0,0,7
13209,U20-020,2022AR20A,Valide,2,2,1,novote,novote,novote,novote,1,novote,novote,1,5,3,2,0,0,6
13219,U20-020,2022AR20A,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,10
13231,U20-020,2022AR20A,Valide,2,4,4,3,1,1,3,4,2,4,1,11,3,2,2,4,0
13235,U20-020,2022AR20A,Valide,3,3,4,1,3,1,3,3,3,3,2,11,2,1,7,1,0
13242,U20-020,2022AR20B,Valide,novote,novote,1,novote,2,2,novote,novote,2,novote,2,5,1,4,0,0,6
13268,U20-020,2022AR20B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
13273,U20-020,2022AR20A,Nul,1,1,4,4,1,1,1,1,1,1 4,1,10,8,0,0,2,0
13275,U20-020,2022AR20A,Valide,1,novote,novote,novote,1,novote,1,novote,novote,novote,1,4,4,0,0,0,7
13287,U20-020,2022AR20B,Valide,1,1,novote,novote,novote,novote,novote,1,novote,novote,1,4,4,0,0,0,7
13367,U20-020,2022AR20A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
13379,U20-020,2022AR20B,Valide,1,1,1,3,3,1,2,2,4,4,1,11,5,2,2,2,0
13385,U20-020,2022AR20B,Valide,2,2,1,2,2,1,2,2,2,2,1,11,3,8,0,0,0
13419,U20-003,2022AR20A,Valide,3,3,3,2,3,3,3,3,3,3,3,11,0,1,10,0,0
13421,U20-020,2022AR20A,Valide,novote,novote,novote,novote,1,1,novote,novote,novote,1,1,4,4,0,0,0,7
13423,U20-020,2022AR20A,Valide,1,novote,novote,novote,1,novote,novote,novote,1,novote,1,4,4,0,0,0,7
13429,U20-020,2022AR20B,Valide,1,1,2,3,novote,novote,novote,novote,1,novote,1,6,4,1,1,0,5
13446,U20-020,2022AR20A,Valide,novote,novote,1,1,novote,1,novote,novote,novote,novote,1,4,4,0,0,0,7
13456,U20-020,2022AR20B,Valide,3,3,3,3,1,novote,novote,novote,1,novote,1,7,3,0,4,0,4
13458,U20-020,2022AR20A,Valide,novote,1,novote,1,novote,novote,novote,novote,novote,1,1,4,4,0,0,0,7
13460,U20-020,2022AR20B,Valide,2,2,2,2,2,1,1,1,1,1,3,11,5,5,1,0,0
13465,U20-020,2022AR20B,Valide,1,1,4,2,1,1,1,1,1,1,1,11,9,1,0,1,0
13473,U20-020,2022AR20B,Valide,2,2,4,2,2,1,2,2,1,1,2,11,3,7,0,1,0
13474,U20-003,2022AR20A,Valide,4,4,3,1,1,1,4,4,1,4,4,11,4,0,1,6,0
13476,U20-020,2022AR20A,Valide,4,4,4,4,2,3,2,3,4,3,1,11,1,2,3,5,0
13484,U20-020,2022AR20A,Valide,novote,1,novote,4,novote,novote,novote,novote,novote,1,1,4,3,0,0,1,7
13488,U20-020,2022AR20A,Valide,2,novote,novote,novote,1,novote,2,2,novote,2,2,6,1,5,0,0,5
13491,U20-020,2022AR20A,Nul,novote,novote,novote,4,novote,novote,novote,novote,novote,novote,novote,1,0,0,0,1,10
13506,U20-020,2022AR20A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
13511,U20-020,2022AR20A,Valide,2,1,2,3,1,1,2,2,3,1,2,11,4,5,2,0,0
13532,U20-020,2022AR20A,Valide,1,novote,1,novote,novote,novote,novote,1,novote,novote,1,4,4,0,0,0,7
13548,U20-020,2022AR20B,Valide,novote,novote,novote,novote,1,1,novote,novote,novote,1,1,4,4,0,0,0,7
13599,U20-020,2022AR20B,Valide,novote,novote,1,novote,2,novote,novote,2,novote,novote,2,4,1,3,0,0,7
13603,U20-020,2022AR20B,Valide,3,2,3,1,1,1,1,1,3,2,4,11,5,2,3,1,0
13607,U20-020,2022AR20A,Nul,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,1,2,2,0,0,0,9
13613,U20-020,2022AR20A,Valide,novote,novote,1,novote,novote,2,novote,2,novote,novote,2,4,1,3,0,0,7
13622,U20-020,2022AR20A,Valide,novote,1,1,novote,novote,novote,1,novote,1,novote,novote,4,4,0,0,0,7
13636,U20-020,2022AR20A,Nul,novote,novote,novote,novote,1,1 2,novote,1,novote,novote,novote,2,2,0,0,0,8
13641,U20-020,2022AR20B,Valide,2,novote,novote,2,2,1,3,2,novote,2,novote,7,1,5,1,0,4
13654,U20-020,2022AR20A,Valide,1,1,2,4,1,2,1,novote,novote,3,1,9,5,2,1,1,2
13679,U20-020,2022AR20B,Valide,2,2,2,2,novote,2,2,2,2,1,1,10,2,8,0,0,1
