ID,Urne,QR-Code,Categorie,1 - Installer du mobilier urbain sur les berges pour les sports de glisse,2 - Rendre l eglise St-Germain l Auxerrois accessible au PMR,3 - Poursuivre la refection des chaussees des Grands Boulevards,4 - Ameliorer le confort et l amenagement d etablissements scolaires,5 - Completer la renovation des arcades de la rue de Rivoli,6 - Ravaler la facade de l eglise St-Nicolas-des-Champs,7 - Rénover le petit tunnel de l ecluse du bassin de l Arsenal,8 - Restaurer la facade et les candelabres de l eglise des Blancs-Manteaux,9 - Restaurer le patrimoine de 3 eglises de Paris Centre,10 - Restaurer le toit et les decors de l eglise Ste-Elisabeth de Hongrie,11 - Restaurer les chapelles de l eglise St-Germain-l Auxerrois,12 - Restaurer les fontaines du Theatre Francais,13 - Restaurer les peintures de 2 eglises et tracer le chemin de Compostelle,14 - Remplacer et renover les bancs de Paris Centre,15 - Renover les reverberes du Louvre,16 - Vegetaliser temporairement la rue Greneta,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
34203,U13-018,2022AR01B,Valide,3,3,1,1,2,4,4,4,4,4,4,4,4,3,3,4,16,2,1,4,9,0
48905,U75-004,2022AR01B,Valide,3,3,2,4,2,4,2,3,4,4,3,1,2,1,3,3,16,2,4,6,4,0
50606,U75-004,2022AR01B,Valide,4,4,4,4,4,4,4,4,1,1,1,novote,1,4,4,4,15,4,0,0,11,1
52386,U75-005,2022AR01B,Nul,novote,1,novote,2 3,2,2,3,1,1,1,1,1,1,2,1,4,13,8,3,1,1,2
52550,U75-002,2022AR01B,Valide,4,3,3,3,3,2,3,2,2,2,2,2,1,2,2,4,16,1,8,5,2,0
52560,U75-002,2022AR01B,Valide,novote,1,novote,2,novote,novote,novote,novote,novote,novote,4,4,3,3,4,3,8,1,1,3,3,8
52641,U75-002,2022AR01B,Valide,novote,1,2,1,3,4,4,novote,2,3,3,2,3,2,4,3,14,2,4,5,3,2
52679,U75-002,2022AR01B,Valide,4,1,2,2,2,1,3,1,1,1,1,1,1,2,2,3,16,8,5,2,1,0
52785,U75-004,2022AR01B,Valide,4,2,1,2,2,2,2,2,2,2,1,1,1,4,1,3,16,5,8,1,2,0
52813,U75-002,2022AR01B,Valide,novote,novote,novote,novote,novote,novote,novote,4,4,4,4,3,4,2,3,1,9,1,1,2,5,7
52882,U75-004,2022AR01B,Valide,2,2,novote,novote,novote,3,2,2,2,2,2,2,2,novote,2,2,12,0,11,1,0,4
52905,U75-002,2022AR01B,Valide,2,2,3,1,2,2,4,3,1,1,1,3,1,1,2,novote,15,6,5,3,1,1
53074,U75-002,2022AR01A,Valide,novote,novote,novote,1,novote,novote,1,novote,1,novote,novote,1,novote,novote,novote,novote,4,4,0,0,0,12
53202,U75-002,2022AR01B,Valide,1,3,novote,1,novote,novote,1,3,3,3,3,3,4,1,2,1,13,5,1,6,1,3
53225,U75-002,2022AR01B,Valide,2,3,1,1,3,2,1,2,2,3,3,3,3,2,2,1,16,4,6,6,0,0
53322,U75-002,2022AR01B,Valide,3,1,1,1,2,3,2,3,2,3,3,2,2,1,2,2,16,4,7,5,0,0
53408,U75-002,2022AR01B,Nul,3,4,2,4,3,4,3,3 4,3 4,3 4,3 4,3,4,3,3,2,12,0,2,6,4,0
53488,U75-002,2022AR01B,Valide,1,1,1,1,1,1,1,1,novote,1,1,1,1,1,novote,novote,13,13,0,0,0,3
53639,U75-004,2022AR01B,Valide,2,2,3,2,3,2,2,2,2,3,2,2,2,3,3,2,16,0,11,5,0,0
53656,U75-002,2022AR01B,Valide,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,1,1,1,novote,novote,1,5,5,0,0,0,11
53713,U75-002,2022AR01B,Valide,1,4,3,1,3,4,4,4,4,4,4,3,4,4,4,1,16,3,0,3,10,0
53922,U75-002,2022AR01B,Valide,novote,1,novote,1,novote,novote,novote,novote,novote,1,novote,2,novote,novote,novote,2,5,3,2,0,0,11
53961,U75-002,2022AR01B,Valide,1,2,2,1,2,1,1,3,3,2,2,1,1,3,3,1,16,7,5,4,0,0
53973,U75-002,2022AR01A,Valide,4,1,1,1,1,2,1,2,2,2,2,1,3,1,1,3,16,8,5,2,1,0
53983,U75-002,2022AR01B,Valide,1,2,1,1,1,3,1,1,3,4,4,2,3,1,3,3,16,7,2,5,2,0
54013,U75-002,2022AR01B,Valide,2,2,2,2,2,3,2,3,3,3,3,3,2,2,3,2,16,0,9,7,0,0
54065,U75-002,2022AR01B,Valide,4,4,3,1,2,3,2,3,3,3,3,2,3,3,2,2,16,1,5,8,2,0
54113,U75-002,2022AR01B,Valide,4,novote,2,1,novote,novote,novote,novote,novote,novote,novote,2,novote,1,2,novote,6,2,3,0,1,10
54211,U75-002,2022AR01B,Valide,1,novote,novote,1,novote,novote,1,novote,novote,novote,novote,novote,1,novote,novote,novote,4,4,0,0,0,12
54237,U75-004,2022AR01B,Valide,novote,1,novote,1,1,novote,novote,novote,1,novote,1,novote,novote,novote,novote,novote,5,5,0,0,0,11
54250,U75-002,2022AR01B,Valide,3,1,2,1,1,1,3,3,3,1,3,3,1,3,1,2,16,7,2,7,0,0
54286,U75-002,2022AR01B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,16
54312,U75-002,2022AR01B,Valide,3,novote,novote,2,novote,novote,novote,3,3,3,3,novote,novote,novote,novote,3,7,0,1,6,0,9
54348,U75-004,2022AR01B,Valide,3,2,3,2,2,3,2,3,3,3,3,2,3,1,3,2,16,1,6,9,0,0
54351,U75-002,2022AR01B,Valide,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,2,novote,2,1,4,2,2,0,0,12
54435,U75-002,2022AR01B,Valide,1,novote,novote,1,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,1,5,5,0,0,0,11
54456,U75-002,2022AR01B,Valide,3,3,1,1,1,2,1,1,3,2,2,1,3,1,2,3,16,7,4,5,0,0
54499,U75-002,2022AR01B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,16
54553,U75-002,2022AR01B,Valide,novote,novote,novote,1,novote,1,1,novote,novote,novote,1,novote,1,novote,novote,1,6,6,0,0,0,10
54684,U75-002,2022AR01B,Nul,1,2,3,3,1,2 3,3,3,3,3,3,2,2,4,3,4,15,2,3,8,2,0
54695,U75-002,2022AR01B,Valide,2,2,2,2,3,4,4,4,4,4,4,3,4,3,3,3,16,0,4,5,7,0
54838,U75-002,2022AR01B,Valide,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,16,5,11,0,0,0
54990,U75-002,2022AR01B,Valide,3,2,2,2,2,novote,2,3,3,3,3,2,3,3,3,2,15,0,7,8,0,1
55048,U75-002,2022AR01B,Nul,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,2,1,novote,novote,3,2,1,0,0,13
55059,U75-002,2022AR01B,Valide,4,novote,1,1,novote,2,3,2,2,2,novote,2,2,2,2,4,13,2,8,1,2,3
55160,U75-002,2022AR01A,Valide,2,1,3,2,3,3,3,3,3,3,3,2,3,3,3,3,16,1,3,12,0,0
55170,U75-002,2022AR01B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,16
55499,U75-002,2022AR01B,Valide,2,novote,2,2,novote,novote,novote,novote,novote,novote,novote,novote,novote,2,novote,novote,4,0,4,0,0,12
